Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NC,2022,12,Male,17,Right-Handed,180,31,173,1,Car,24,0.734,31,Soccer,1000,900,700,800,200,200,33,Left foot,76,70,Index finger,September,Summer,Yes,No,Meat,Water,Mathematics and statistics,8,9,4,Yes - other,In person,890,897,7,2,1,13,9,2,20,20,7,0,8,3,Some,Undergraduate degree,Heavy metal,Telepathy,Rich,Relative,"Wildlife, animals"
USA,NC,2022,12,Male,16,Right-Handed,170,26,174,1,Car,8,0.3,38,Football (American),1000,1000,1000,1000,503,802,26,Same length,78,76,Same length,April,Fall,No,No,Pizza/Pasta,Water,Physical education,7,9,7,Yes - broadband connection,Text messaging,50,50,10,3,2,15,15,12,8,8,3,5,20,5,Very little,Some college,Rap/Hip hop,Freeze time,Rich,Actor,Health
USA,NC,2022,12,Male,17,Right-Handed,182,26,173,1,Car,20,0.361,58,Table Tennis,11,11,11,11,11,503,26,Same length,83,71,Index finger,April,Fall,No,No,Meat,Soft drink (caffeinated),Other,7,7,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",20,20,5,1,1,4,0,0,3,2,4,2,4,4,Very little,Some college,Country,Super strength,Healthy,Other,International aid
USA,NC,2022,12,Male,17,Left-Handed,185,28.6,82,1,Car,5,0.337,41,Football (American),900,850,925,875,0,650,28.6,Same length,80,65,Index finger,February,Winter,No,No,Meat,Energy drink,Physical education,6,5,6,Yes - other,Text messaging,200,100,10,2,0,3,6,0,0,8,20,0,40,6,Some,Graduate degree,Rap/Hip hop,Fly,Rich,Friend,Health
USA,NC,2022,11,Female,16,Left-Handed,160,23.8,160,2,Car,5,0.344,58,Running/Jogging,877,840,861,840,166,556,24,Left foot,101.6,69.85,Index finger,October,Fall,No,No,Pizza/Pasta,Water,Mathematics and statistics,4,7,4,Yes - broadband connection,Text messaging,30,50,4,0,25,6,12,0,20,10,50,10,0,15,A lot,Graduate degree,Pop,Invisibility,Happy,Musician or singer,Environment
USA,NC,2022,10,Female,16,Right-Handed,160,23,152.4,1,Car,60,0.291,55,Athletics,743,963,1000,417,540,1000,24,Left foot,65,69,Ring finger,February,Spring,No,No,Meat,Soft drink (non-caffeinated),Mathematics and statistics,4,6,5,Yes - broadband connection,Text messaging,80,50,21,10,7,10,21,12,100,100,100,70,0,12,A lot,Graduate degree,Other,Telepathy,Rich,Relative,International aid
USA,NC,2022,11,Female,18,Right-Handed,170,28,171,1,Car,15,0.667,36,Skateboarding/Rollerblading,1000,900,800,750,400,700,28,Same length,72,74,Ring finger,February,Winter,No,No,Pizza/Pasta,Soft drink (caffeinated),English,6,9,4,Yes - other,Text messaging,73,80,7,1,1,2,2,5,12,3,5,4,0,1,Some,Undergraduate degree,Pop,Freeze time,Happy,Relative,"Wildlife, animals"
USA,NC,2022,12,Male,17,Right-Handed,189,27,192,1,Car,18,0.3,50,Basketball,1000,930,1000,872,1000,1000,27,Same length,8,9,Ring finger,June,Fall,Yes,No,Meat,Water,Science,7,10,3,Yes - broadband connection,Text messaging,12,13,3,1,1,2,4,5,1,1,5,1,25,3,Very little,Some college,Rap/Hip hop,Super strength,Rich,Other,"Wildlife, animals"
USA,NC,2022,12,Female,18,Right-Handed,154.9,24,63,1,Car,13,0.714,65,Baseball/Softball,455,1000,1000,1000,0,0,25,Left foot,7,7,Index finger,June,Fall,No,No,Rice/Noodle dishes,Water,History,8,12,5,Yes - other,Cell phone,10,45,6,1,4,8,3,0,30,15,0,10,40,5,Some,Graduate degree,Country,Freeze time,Happy,Relative,Health
USA,NC,2022,12,Male,17,Right-Handed,199,18.4,185,2,Car,12,0.661,43,Basketball,75,60,55,60,40,80,18.4,Same length,91,87,Index finger,December,Winter,No,No,Meat,Water,Mathematics and statistics,6,8,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",4,5,8,1,5,4,25,10,7,5,25,0,0,5,Some,Graduate degree,Rap/Hip hop,Freeze time,Happy,Sports person,Education/Youth development
USA,NC,2022,10,Female,15,Right-Handed,165,43,162,1,Car,34,3,60,Swimming,1000,1000,1000,1000,496,496,12,Right foot,5,5,Index finger,May,Winter,Yes,No,Soups,Tea,Science,6,8,6,Yes - broadband connection,Text messaging,101,532,42,1,30,72,50,0,0,9,49,10,55,18,A lot,Graduate degree,Rhythm and blues (R&B),Fly,Healthy,Sports person,Education/Youth development
USA,NC,2022,12,Female,16,Right-Handed,160,25,63,1,Walk,2,0.841,36,Walking/Hiking,337,471,37,37,775,893,26,Left foot,69,67,Index finger,October,Summer,No,No,Fruit,Water,Science,7.5,9,4,Yes - other,Text messaging,25,25,8,3,8,2,4,0,10,5,15,1,0,2,Some,Graduate degree,Pop,Invisibility,Rich,Doctor or nurse,Religious
USA,NC,2022,12,Female,17,Right-Handed,174,30,173,1,Car,15,0.371,42,Walking/Hiking,1000,1000,1000,1000,100,200,31,Left foot,70,65,Index finger,May,Summer,Yes,No,Fruit,Juice,Science,7,6,3,Yes - other,Internet chat or instant messaging,60,60,15,1,20,1,7,0,10,12,20,2,0,2,A lot,Graduate degree,Pop,Freeze time,Happy,Friend,Environment
USA,NC,2022,12,Female,17,Right-Handed,155,20,152,1,Bus,45,0.409,39,None,936,1000,856,733,914,845,21,Left foot,76,63,Ring finger,February,Fall,Yes,No,Pizza/Pasta,Milk,History,9,7,4,Yes - broadband connection,Internet chat or instant messaging,30,25,15,5,7,14,10,0,5,14,14,35,12,3,Some,Some college,Country,Telepathy,Healthy,Relative,Environment
USA,NC,2022,11,Female,17,Right-Handed,155,20,147,1,Car,20,0.066,33,Gymnastics,500,750,250,800,700,1000,20,Same length,5.5,6,Ring finger,February,Winter,No,No,Seafood,Water,Science,8,8,5,Yes - other,Text messaging,21,19,0,0,4,1,17,0,3,4,8,6,10,3,Some,Graduate degree,Country,Freeze time,Happy,Other,Education/Youth development
USA,NC,2022,12,Male,17,Right-Handed,180,27,184,1,Bus,20,0.294,37,None,0,0,0,0,100,100,26,Right foot,85,80,Index finger,May,Winter,No,No,Meat,Water,Science,6,8,5,Yes - broadband connection,In person,10,40,20,1,10,0,5,2,0,2,60,5,0,2,None,Graduate degree,Rap/Hip hop,Invisibility,Rich,Relative,Health
USA,NC,2022,12,Female,16,Left-Handed,150,25,20,3,Car,15,0.509,37,Soccer,500,250,397,500,1000,1000,19,Right foot,7,7,Same length,May,Summer,Yes,No,Rice/Noodle dishes,Energy drink,Mathematics and statistics,6,10,6,Yes - other,Cell phone,350,350,38,56,7,7,3,0,84,12,12,2,0,3,A lot,Graduate degree,Rap/Hip hop,Telepathy,Rich,Relative,Health
USA,NC,2022,12,Female,18,Right-Handed,154,23.5,151,1,Car,15,0.232,38,Soccer,1000,1000,1000,1000,91,91,24,Left foot,7,5.5,Index finger,January,Fall,Yes,No,Rice/Noodle dishes,Water,Art,7.5,9,5,Yes - broadband connection,Text messaging,4,50,2,2,20,12,0,0,15,1,50,10,0,1,Some,Graduate degree,Pop,Invisibility,Happy,Relative,Environment
USA,NC,2022,12,Male,18,Right-Handed,172.2,35.56,182,1,Bus,20,0.368,47,Football (American),3,4,1,2,6,5,35.56,Same length,100,100,Same length,December,Spring,No,No,Poultry,Juice,Science,6,8,2,Yes - broadband connection,In person,5,10,2,0,0,1,2,5,1,0,24,0,0,0,Some,Graduate degree,Rap/Hip hop,Invisibility,Rich,Friend,International aid
